A,B,C,Sum,observed,predicted,fold,split
0,0,1,1,192.6583543,210.63934043379084,4,interpolation
0,0,2,2,296.6490555,301.14516386817525,2,interpolation
1,0,1,2,272.5713863,229.00241280846478,0,interpolation
1,0,2,3,399.7731659,324.66835456881705,4,interpolation
1,0,3,4,472.9126717,439.5366248882503,3,interpolation
0,1,1,2,188.3537845,153.0743844853297,1,interpolation
1,1,2,4,430.0325607,408.04646839398475,2,interpolation
2,0,2,4,412.7863912,325.7707152570269,3,interpolation
1,1,1,3,327.9739665,271.69728538012544,1,interpolation
1,2,1,4,299.3542041,380.3859385182305,3,interpolation
1,0,4,5,549.3314291,552.2699092923497,0,interpolation
1,0,5,6,640.04064,660.0257414536446,0,interpolation
2,0,4,6,592.097188,552.7263828388692,4,interpolation
3,0,3,6,554.3619613,473.16383631525935,1,interpolation
1,1,4,6,695.8665709,754.9609843429138,0,interpolation
2,1,3,6,608.372451,660.4869896965149,4,interpolation
1,2,3,6,569.286794,596.5324594280929,0,interpolation
1,0,6,7,798.339886,918.0853550080838,1,interpolation
1,1,5,7,830.0363128,875.1870446186458,3,interpolation
1,1,6,8,1071.991598,1016.4925188957855,3,interpolation
1,0,7,8,885.8665709,1066.3925279056918,1,interpolation
1,2,5,8,885.5251397,949.65194032624,4,interpolation
2,1,5,8,996.9169498,1014.6469306251781,0,interpolation
3,1,4,8,892.097188,862.948892334959,2,interpolation
1,0,8,9,942.9273743,1214.6997008033,1,interpolation
1,3,5,9,833.8631285,1148.1973044862202,2,interpolation
1,1,7,9,1149.575419,1161.5403227657741,1,interpolation
1,2,6,9,1191.670391,1094.2343927260467,4,interpolation
1,1,8,10,1269.601458,1388.6753880386577,0,extrapolation (sum=10)
1,2,7,10,1321.782123,1228.218866799721,3,extrapolation (sum=10)
2,2,6,10,1371.530726,1291.857540800072,2,extrapolation (sum=10)
2,1,7,10,1279.69,1263.6106558906226,2,extrapolation (sum=10)
