family,d_nom,d_eff,rep,r2_law,top1_regret,n_terms,traj,depth_sel
michaelis_menten,9,3,0,0.9626461081124588,0.0,6.0,t1,
michaelis_menten,9,3,1,0.9729468220839492,0.0477217012309388,6.0,t1,
michaelis_menten,9,3,2,0.9630531113684456,0.0048281687825138,5.0,t1,
michaelis_menten,9,3,3,0.9839782792806652,0.0,4.0,t1,
michaelis_menten,9,3,4,0.965088235212008,0.0,5.0,t1,
michaelis_menten,9,3,5,0.9651385601985688,0.0,6.0,t1,
michaelis_menten,9,3,6,0.9643422162570408,0.0,5.0,t1,
michaelis_menten,9,3,7,0.968156116056764,0.0,3.0,t1,
michaelis_menten,9,3,8,0.9542512654684124,0.0909201776934008,6.0,t1,
michaelis_menten,9,3,9,0.9730620935849364,0.0,5.0,t1,
michaelis_menten,9,3,10,0.9640943498597514,0.0,6.0,t1,
michaelis_menten,9,3,11,0.9630984784483286,0.0,6.0,t1,
michaelis_menten,9,3,12,0.9693507253507514,0.0,6.0,t1,
michaelis_menten,9,3,13,0.9792026751661028,0.0,4.0,t1,
michaelis_menten,9,3,14,0.9528721149166652,0.0,9.0,t1,
michaelis_menten,9,3,15,0.9703114745204549,0.1211471056644073,5.0,t1,
michaelis_menten,9,3,16,0.978882372437971,0.0072343070089621,5.0,t1,
michaelis_menten,9,3,17,0.9810778310400714,0.0,4.0,t1,
michaelis_menten,9,3,18,0.973917260345832,0.0,4.0,t1,
michaelis_menten,9,3,19,0.9888973090548332,0.0,4.0,t1,
michaelis_menten,9,5,0,0.9528332130429744,0.0,10.0,t1,
michaelis_menten,9,5,1,0.954212333099775,0.0,8.0,t1,
michaelis_menten,9,5,2,0.9687767468029296,0.0,8.0,t1,
michaelis_menten,9,5,3,0.9716036277317928,0.0,9.0,t1,
michaelis_menten,9,5,4,0.9482182658874172,0.009615010650073,10.0,t1,
michaelis_menten,9,5,5,0.9526899756679276,0.0057921841640501,10.0,t1,
michaelis_menten,9,5,6,0.9484832404974132,0.0,10.0,t1,
michaelis_menten,9,5,7,0.97056086307132,0.0,8.0,t1,
michaelis_menten,9,5,8,0.954263082923572,0.0,8.0,t1,
michaelis_menten,9,5,9,0.9509197088564524,0.0,10.0,t1,
