id,group,nom_d,eff_d,r2_law,r2_bb,N,source,domain,compresses
beta-carotene,positive,3,1.26,0.92,0.975,32,curated,metabolic,full
tryptophan,negative,5,3.39,-0.269,0.133,307,curated,metabolic,partial-or-none
limonene,negative,9,6.17,0.39,0.625,30,curated,metabolic,partial-or-none
isoprenol,negative,121,12.1,0.432,0.449,401,curated,metabolic,partial-or-none
jervis-RBS,negative,14,3.38,0.54,0.577,60,curated,metabolic,partial-or-none
vanlent-pCA,negative,19,5.79,0.493,0.513,403,curated,metabolic,partial-or-none
vanlent-simulator,simulator,7,2.85,0.67,0.902,2000,curated,simulator,partial-or-none
poelwijk,keystone,13,4.02,0.318,0.932,2000,curated,protein,partial-or-none
gb1,contrast,4,3.93,-0.114,0.132,2000,curated,protein,partial-or-none
avgfp,positive,233,80.81,0.102,0.396,2000,curated,protein,partial-or-none
aav,contrast,28,22.98,0.214,0.563,2000,curated,protein,partial-or-none
smanski-nif,positive,115,48.68,0.04,-0.017,80,curated,metabolic,partial-or-none
pca-paperA,positive,5,2.07,0.38,0.69,91,curated,metabolic,partial-or-none
A4_HUMAN_Seuma_2022,protein-dms,42,27.4,0.188,0.397,1500,proteingym,protein,partial-or-none
AMFR_HUMAN_Tsuboyama_2023_4G3O,protein-dms,47,6.36,0.324,0.584,1500,proteingym,protein,partial-or-none
BBC1_YEAST_Tsuboyama_2023_1TG0,protein-dms,64,20.55,0.177,0.367,1500,proteingym,protein,partial-or-none
BCHB_CHLTE_Tsuboyama_2023_2KRU,protein-dms,52,15.24,0.174,0.488,1500,proteingym,protein,partial-or-none
CAPSD_AAV2S_Sinai_2021,protein-dms,28,22.79,0.218,0.541,1500,proteingym,protein,partial-or-none
CATR_CHLRE_Tsuboyama_2023_2AMI,protein-dms,72,6.66,0.438,0.492,1500,proteingym,protein,partial-or-none
CBPA2_HUMAN_Tsuboyama_2023_1O6X,protein-dms,72,5.17,0.55,0.62,1500,proteingym,protein,partial-or-none
CBX4_HUMAN_Tsuboyama_2023_2K28,protein-dms,50,9.91,0.36,0.489,1500,proteingym,protein,partial-or-none
CSN4_MOUSE_Tsuboyama_2023_1UFM,protein-dms,72,13.92,0.205,0.453,1500,proteingym,protein,partial-or-none
CUE1_YEAST_Tsuboyama_2023_2MYX,protein-dms,52,18.83,0.112,0.524,1500,proteingym,protein,partial-or-none
D7PM05_CLYGR_Somermeyer_2022,protein-dms,234,105.87,0.099,0.132,1500,proteingym,protein,partial-or-none
DLG4_HUMAN_Faure_2021,protein-dms,84,14.31,0.412,0.492,1500,proteingym,protein,partial-or-none
DNJA1_HUMAN_Tsuboyama_2023_2LO1,protein-dms,65,8.27,0.603,0.652,1500,proteingym,protein,partial-or-none
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,protein-dms,66,19.27,0.214,0.319,1500,proteingym,protein,partial-or-none
EPHB2_HUMAN_Tsuboyama_2023_1F0M,protein-dms,66,6.52,0.505,0.555,1500,proteingym,protein,partial-or-none
F7YBW8_MESOW_Ding_2023,protein-dms,10,5.55,0.504,0.576,1500,proteingym,protein,partial-or-none
F7YBW8_MESOW_Aakre_2015,protein-dms,4,3.96,0.649,0.807,1500,proteingym,protein,partial-or-none
FECA_ECOLI_Tsuboyama_2023_2D1U,protein-dms,72,26.44,0.1,0.356,1500,proteingym,protein,partial-or-none
GCN4_YEAST_Staller_2018,protein-dms,44,40.5,0.03,0.096,1500,proteingym,protein,partial-or-none
GFP_AEQVI_Sarkisyan_2016,protein-dms,233,79.58,0.083,0.359,1500,proteingym,protein,partial-or-none
GRB2_HUMAN_Faure_2021,protein-dms,56,34.85,0.181,0.345,1500,proteingym,protein,partial-or-none
HECD1_HUMAN_Tsuboyama_2023_3DKM,protein-dms,70,15.26,0.303,0.576,1500,proteingym,protein,partial-or-none
HIS7_YEAST_Pokusaeva_2019,protein-dms,126,19.92,0.346,0.272,1500,proteingym,protein,partial-or-none
ISDH_STAAW_Tsuboyama_2023_2LHR,protein-dms,55,14.27,0.096,0.39,1500,proteingym,protein,partial-or-none
MAFG_MOUSE_Tsuboyama_2023_1K1V,protein-dms,41,6.82,0.471,0.621,1429,proteingym,protein,partial-or-none
MBD11_ARATH_Tsuboyama_2023_6ACV,protein-dms,66,8.25,0.41,0.565,1500,proteingym,protein,partial-or-none
MYO3_YEAST_Tsuboyama_2023_2BTT,protein-dms,60,15.2,0.314,0.43,1500,proteingym,protein,partial-or-none
NKX31_HUMAN_Tsuboyama_2023_2L9R,protein-dms,61,11.9,0.318,0.437,1500,proteingym,protein,partial-or-none
NUSA_ECOLI_Tsuboyama_2023_1WCL,protein-dms,69,10.3,0.381,0.492,1500,proteingym,protein,partial-or-none
NUSG_MYCTU_Tsuboyama_2023_2MI6,protein-dms,55,27.43,0.143,0.556,1380,proteingym,protein,partial-or-none
OBSCN_HUMAN_Tsuboyama_2023_1V1C,protein-dms,65,11.8,0.417,0.55,1500,proteingym,protein,partial-or-none
ODP2_GEOSE_Tsuboyama_2023_1W4G,protein-dms,44,20.02,0.23,0.436,1134,proteingym,protein,partial-or-none
PABP_YEAST_Melamed_2013,protein-dms,75,49.58,0.103,0.381,1500,proteingym,protein,partial-or-none
PHOT_CHLRE_Chen_2023,protein-dms,33,4.53,0.661,0.911,1500,proteingym,protein,partial-or-none
PIN1_HUMAN_Tsuboyama_2023_1I6C,protein-dms,39,9.95,0.349,0.57,802,proteingym,protein,partial-or-none
PITX2_HUMAN_Tsuboyama_2023_2L7M,protein-dms,52,8.9,0.254,0.499,1500,proteingym,protein,partial-or-none
POLG_PESV_Tsuboyama_2023_2MXD,protein-dms,53,12.19,0.373,0.568,1500,proteingym,protein,partial-or-none
PR40A_HUMAN_Tsuboyama_2023_1UZC,protein-dms,63,4.09,0.602,0.668,1500,proteingym,protein,partial-or-none
PSAE_PICP2_Tsuboyama_2023_1PSE,protein-dms,68,8.36,0.364,0.436,1500,proteingym,protein,partial-or-none
Q6WV12_9MAXI_Somermeyer_2022,protein-dms,216,36.67,0.227,0.625,1500,proteingym,protein,partial-or-none
Q8WTC7_9CNID_Somermeyer_2022,protein-dms,236,54.95,0.203,0.383,1500,proteingym,protein,partial-or-none
RAD_ANTMA_Tsuboyama_2023_2CJJ,protein-dms,54,8.96,0.37,0.496,912,proteingym,protein,partial-or-none
RASK_HUMAN_Weng_2022_abundance,protein-dms,182,58.74,0.192,0.319,1500,proteingym,protein,partial-or-none
RASK_HUMAN_Weng_2022_binding-DARPin_K55,protein-dms,182,20.48,0.389,0.613,1500,proteingym,protein,partial-or-none
RBP1_HUMAN_Tsuboyama_2023_2KWH,protein-dms,52,16.72,0.234,0.516,1332,proteingym,protein,partial-or-none
RCD1_ARATH_Tsuboyama_2023_5OAO,protein-dms,57,12.35,0.241,0.381,1261,proteingym,protein,partial-or-none
RCRO_LAMBD_Tsuboyama_2023_1ORC,protein-dms,63,5.75,0.486,0.543,1500,proteingym,protein,partial-or-none
RD23A_HUMAN_Tsuboyama_2023_1IFY,protein-dms,44,15.76,0.143,0.537,1019,proteingym,protein,partial-or-none
RFAH_ECOLI_Tsuboyama_2023_2LCL,protein-dms,55,21.47,0.111,0.314,1326,proteingym,protein,partial-or-none
RL20_AQUAE_Tsuboyama_2023_1GYZ,protein-dms,59,2.11,0.645,0.749,1461,proteingym,protein,partial-or-none
