family,d_nom,d_eff_set,rep,eff_d_est
additive,12,2,0,2.05
additive,12,2,1,2.053
additive,12,2,2,2.05
additive,12,2,3,2.041
additive,12,2,4,2.063
additive,12,2,5,2.057
additive,12,2,6,2.066
additive,12,2,7,2.066
additive,12,2,8,2.051
additive,12,2,9,2.04
additive,12,2,10,2.055
additive,12,2,11,2.066
additive,12,2,12,2.066
additive,12,2,13,2.058
additive,12,2,14,2.058
additive,12,2,15,2.063
additive,12,2,16,2.056
additive,12,2,17,2.062
additive,12,2,18,2.063
additive,12,2,19,2.067
additive,12,2,20,2.059
additive,12,2,21,2.052
additive,12,2,22,2.06
additive,12,2,23,2.061
additive,12,2,24,2.045
additive,12,3,0,3.205
additive,12,3,1,3.207
additive,12,3,2,3.244
additive,12,3,3,3.182
additive,12,3,4,3.252
additive,12,3,5,3.231
additive,12,3,6,3.208
additive,12,3,7,3.185
additive,12,3,8,3.027
additive,12,3,9,3.226
additive,12,3,10,3.229
additive,12,3,11,3.183
additive,12,3,12,3.188
additive,12,3,13,3.224
additive,12,3,14,3.241
additive,12,3,15,3.229
additive,12,3,16,3.207
additive,12,3,17,3.248
additive,12,3,18,3.206
additive,12,3,19,3.2
additive,12,3,20,3.225
additive,12,3,21,3.212
additive,12,3,22,3.223
additive,12,3,23,3.227
additive,12,3,24,3.238
additive,12,5,0,5.633
additive,12,5,1,5.675
additive,12,5,2,5.601
additive,12,5,3,5.584
additive,12,5,4,5.634
additive,12,5,5,5.695
additive,12,5,6,5.752
additive,12,5,7,5.557
additive,12,5,8,5.674
additive,12,5,9,5.475
additive,12,5,10,5.808
additive,12,5,11,5.762
additive,12,5,12,5.637
additive,12,5,13,5.623
additive,12,5,14,5.71
additive,12,5,15,5.495
additive,12,5,16,5.663
additive,12,5,17,5.835
additive,12,5,18,5.799
additive,12,5,19,5.468
additive,12,5,20,5.491
additive,12,5,21,5.698
additive,12,5,22,5.389
additive,12,5,23,5.614
additive,12,5,24,5.426
additive,12,9,0,9.153
additive,12,9,1,9.414
additive,12,9,2,9.162
additive,12,9,3,9.404
additive,12,9,4,9.1
additive,12,9,5,9.438
additive,12,9,6,9.437
additive,12,9,7,9.365
additive,12,9,8,9.063
additive,12,9,9,9.556
additive,12,9,10,8.99
additive,12,9,11,9.333
additive,12,9,12,9.286
additive,12,9,13,9.304
additive,12,9,14,9.009
additive,12,9,15,9.265
additive,12,9,16,9.299
additive,12,9,17,9.285
additive,12,9,18,9.168
additive,12,9,19,9.295
additive,12,9,20,9.127
additive,12,9,21,9.111
additive,12,9,22,9.289
additive,12,9,23,9.395
additive,12,9,24,9.214
michaelis_menten,12,2,0,2.07
michaelis_menten,12,2,1,2.07
michaelis_menten,12,2,2,2.06
michaelis_menten,12,2,3,2.067
michaelis_menten,12,2,4,2.065
michaelis_menten,12,2,5,2.021
michaelis_menten,12,2,6,2.06
michaelis_menten,12,2,7,2.061
michaelis_menten,12,2,8,2.064
michaelis_menten,12,2,9,2.052
michaelis_menten,12,2,10,2.056
michaelis_menten,12,2,11,2.06
michaelis_menten,12,2,12,2.039
michaelis_menten,12,2,13,2.036
michaelis_menten,12,2,14,2.058
michaelis_menten,12,2,15,2.062
michaelis_menten,12,2,16,2.058
michaelis_menten,12,2,17,2.074
michaelis_menten,12,2,18,2.052
michaelis_menten,12,2,19,2.016
michaelis_menten,12,2,20,2.066
michaelis_menten,12,2,21,2.052
michaelis_menten,12,2,22,2.048
michaelis_menten,12,2,23,2.042
michaelis_menten,12,2,24,2.07
michaelis_menten,12,3,0,3.216
michaelis_menten,12,3,1,3.185
michaelis_menten,12,3,2,3.237
michaelis_menten,12,3,3,3.264
michaelis_menten,12,3,4,3.244
michaelis_menten,12,3,5,3.088
michaelis_menten,12,3,6,3.232
michaelis_menten,12,3,7,3.147
michaelis_menten,12,3,8,3.221
michaelis_menten,12,3,9,3.174
michaelis_menten,12,3,10,3.185
michaelis_menten,12,3,11,3.27
michaelis_menten,12,3,12,3.25
michaelis_menten,12,3,13,3.179
michaelis_menten,12,3,14,3.213
michaelis_menten,12,3,15,3.217
michaelis_menten,12,3,16,3.23
michaelis_menten,12,3,17,3.21
michaelis_menten,12,3,18,3.274
