cell,d,k,sigma,N,encoding,cluster,r2_bb,r2_law,Lambda,depth_sel,terms_sel,law_top1_regret,law_top5_regret,law_spearman,bb_top1_regret,bb_top5_regret,bb_spearman
1,3,1,0.0,30,integer,d3_k1_s0.0,0.9557418233807896,0.968656577488411,1.0,2.0,4.0,0.0,0.0,0.9995520191298519,0.009847354849701536,0.0,0.9973634947533357
2,3,1,0.0,100,integer,d3_k1_s0.0,0.9986534168628051,0.9999119063161194,1.0,1.0,4.0,0.0,0.0,0.9998604864933486,0.002985931531522181,0.0,0.9998702374373618
3,3,1,0.0,300,integer,d3_k1_s0.0,0.999871273221792,0.9999201156292163,1.0,1.0,4.0,0.0,0.0,0.9998753004275227,0.002985931531522181,0.0,0.999903803186946
4,3,1,0.1,30,integer,d3_k1_s0.1,0.9731102557847646,0.9758724653499525,1.0,1.0,4.0,0.002985931531522181,0.0,0.9947219265165109,0.009847354849701536,0.002985931531522181,0.9954665611064472
5,3,1,0.1,100,integer,d3_k1_s0.1,0.9789874123214729,0.9820924915920031,1.0,1.5,4.0,0.002985931531522181,0.0,0.9986118031051882,0.0,0.0,0.9979941183055785
6,3,1,0.1,300,integer,d3_k1_s0.1,0.9880043253696349,0.9900308592461657,1.0,1.0,4.0,0.0,0.0,0.9999334310552941,0.002985931531522181,0.0,0.998839262626113
7,3,1,0.3,30,integer,d3_k1_s0.3,0.7244376221835493,0.6653617459953155,0.9184527771898822,1.0,4.0,0.002985931531522181,0.0,0.9907977341056331,0.05820165397969317,0.002985931531522181,0.9874565356358562
8,3,1,0.3,100,integer,d3_k1_s0.3,0.8729861276828523,0.8974413368924407,1.0,1.0,4.0,0.0,0.0,0.9977334680713776,0.009847354849701536,0.009847354849701536,0.9904245729789715
9,3,1,0.3,300,integer,d3_k1_s0.3,0.8949395624597852,0.9106164537649954,1.0,1.0,4.0,0.009847354849701536,0.0,0.9981285688220691,0.009847354849701536,0.009847354849701536,0.9965262261952736
10,3,1,0.0,30,continuous,d3_k1_s0.0,0.9909205351277487,0.9788831795143311,0.9878523502271898,1.0,4.0,0.0,0.0,0.9999381246132787,0.05565566699129351,0.0,0.9994131213320082
11,3,1,0.0,100,continuous,d3_k1_s0.0,0.999111417778807,0.9996956019009886,1.0,1.5,4.0,0.0,0.0,0.9995867474171714,0.0,0.0,0.9999422496390602
12,3,1,0.0,300,continuous,d3_k1_s0.0,0.9999240011182671,0.9999319984153835,1.0,1.0,4.0,0.0,0.0,0.9999339995874974,0.0,0.0,0.9999561247257794
13,3,1,0.1,30,continuous,d3_k1_s0.1,0.9279733811518325,0.9660723297149301,1.0,1.0,4.0,0.0,0.0,0.9954928468302926,0.05158138369200792,0.0,0.9954050962818518
14,3,1,0.1,100,continuous,d3_k1_s0.1,0.9866384100658189,0.9919968621693037,1.0,1.0,4.0,0.0,0.0,0.9998616241351508,0.0,0.0,0.9994749967187294
15,3,1,0.1,300,continuous,d3_k1_s0.1,0.9882232001743245,0.9907304218281271,1.0,1.0,4.0,0.0,0.0,0.9998739992124949,0.0,0.0,0.9992126825792661
16,3,1,0.3,30,continuous,d3_k1_s0.3,0.8403367522832679,0.6271981359947173,0.7463652330932398,2.0,4.0,0.7205437779725657,0.7205437779725657,0.9011208820055123,0.05565566699129351,0.05158138369200792,0.9779702998143738
17,3,1,0.3,100,continuous,d3_k1_s0.3,0.8907626695088012,0.8746100719921479,0.9818665531576886,1.0,4.0,0.0,0.0,0.9831299570622315,0.0,0.0,0.9948193426208913
18,3,1,0.3,300,continuous,d3_k1_s0.3,0.9320259826362758,0.9309589418608915,0.9988551383810501,1.0,4.0,0.0,0.0,0.9983597397483733,0.05158138369200792,0.0,0.9941254007837549
19,3,1,0.0,30,binary,d3_k1_s0.0,0.9828915127856812,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
20,3,1,0.0,100,binary,d3_k1_s0.0,0.999999973193407,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
