Assay,Nominal d,Effective d (median),Compressibility R2det (median),Study
PHOT_CHLRE_Chen_2023,33,4.53,0.661,CHLRE
F7YBW8_MESOW_Aakre_2015,4,3.87,0.649,MESOW
RL20_AQUAE_Tsuboyama_2023_1GYZ,59,2.09,0.645,Tsuboyama_2023
SDA_BACSU_Tsuboyama_2023_1PV0,44,4.47,0.612,Tsuboyama_2023
PR40A_HUMAN_Tsuboyama_2023_1UZC,63,4.18,0.602,Tsuboyama_2023
DNJA1_HUMAN_Tsuboyama_2023_2LO1,65,8.43,0.58,Tsuboyama_2023
TCRG1_MOUSE_Tsuboyama_2023_1E0L,35,5.64,0.566,Tsuboyama_2023
CBPA2_HUMAN_Tsuboyama_2023_1O6X,72,5.05,0.552,Tsuboyama_2023
VILI_CHICK_Tsuboyama_2023_1YU5,65,5.24,0.55,Tsuboyama_2023
YNZC_BACSU_Tsuboyama_2023_2JVD,39,7.32,0.496,Tsuboyama_2023
F7YBW8_MESOW_Ding_2023,10,5.55,0.491,MESOW
EPHB2_HUMAN_Tsuboyama_2023_1F0M,66,6.53,0.489,Tsuboyama_2023
RCRO_LAMBD_Tsuboyama_2023_1ORC,63,5.7,0.486,Tsuboyama_2023
SPG2_STRSG_Tsuboyama_2023_5UBS,56,8.83,0.474,Tsuboyama_2023
MAFG_MOUSE_Tsuboyama_2023_1K1V,41,6.8,0.471,Tsuboyama_2023
CATR_CHLRE_Tsuboyama_2023_2AMI,72,6.56,0.438,Tsuboyama_2023
OBSCN_HUMAN_Tsuboyama_2023_1V1C,65,11.8,0.417,Tsuboyama_2023
MBD11_ARATH_Tsuboyama_2023_6ACV,66,7.62,0.416,Tsuboyama_2023
YAIA_ECOLI_Tsuboyama_2023_2KVT,52,9.94,0.411,Tsuboyama_2023
DLG4_HUMAN_Faure_2021,84,15.71,0.396,HUMAN
SR43C_ARATH_Tsuboyama_2023_2N88,48,8.51,0.39,Tsuboyama_2023
THO1_YEAST_Tsuboyama_2023_2WQG,41,8.83,0.375,Tsuboyama_2023
NUSA_ECOLI_Tsuboyama_2023_1WCL,69,10.3,0.372,Tsuboyama_2023
RAD_ANTMA_Tsuboyama_2023_2CJJ,54,9.02,0.37,Tsuboyama_2023
RASK_HUMAN_Weng_2022_binding-DARPin_K55,182,23.0,0.361,HUMAN
