Dataset,R2det_t1,effd_t1,R2det_t2,effd_t2,R2det_t3,effd_t3
beta-carotene,0.92,1.26,0.92,1.25,0.92,1.26
tryptophan,-0.269,3.38,-0.269,3.37,-0.269,3.39
limonene,0.39,5.8,0.39,5.55,0.39,6.17
isoprenol,0.432,12.29,0.432,12.1,0.432,12.1
jervis-RBS,0.54,3.22,0.54,3.52,0.54,3.38
vanlent-pCA,0.493,5.71,0.493,5.74,0.493,5.79
vanlent-simulator,0.693,2.86,0.631,2.88,0.67,2.85
poelwijk,0.427,3.27,0.243,3.05,0.318,4.02
gb1,0.081,3.89,0.03,3.92,-0.114,3.93
avgfp,0.073,93.18,0.091,84.13,0.102,80.81
aav,0.24,22.91,0.221,23.61,0.214,22.98
smanski-nif,0.04,52.31,0.04,49.13,0.04,48.68
pca-paperA,0.38,2.1,0.38,2.08,0.38,2.07
